item,factor,pass_rate,loading,loading_se
item01_protocol,F1,0.013888888888888888,0.829839601010368,0.8899872719961689
item02_search_string,F2,0.9583333333333334,-0.22124888475560006,0.2528686219316901
item03_nonenglish,F5,0.027777777777777776,3.2865226734318576,1.9404703244077794
item04_search_comp,F2,0.06944444444444445,-0.037320712017467894,0.20514763684779785
item05_screening,F3,0.4861111111111111,1,NA
item06_fulltext_n,F3,0.7916666666666666,6.734495329955566,1.7567018568095818
item07_raw_data,F4,0.20833333333333334,0.3272855978013544,0.15749425776007484
item08_metadata,F4,0.06944444444444445,0.5739189890236319,0.2770203369216287
item09_competing,F5,0.8194444444444444,0.3468935125586935,0.17150587948359863
item10_suppl_files,F4,0.3888888888888889,0.06865566710322513,0.11260948704464938
item11_languages,F2,0.3194444444444444,0.7043422867024721,0.24403354120471263
item12_nonenglish_incl,F5,0.027777777777777776,3.2865226734318456,1.9404703244078214
item13_extraction,F3,0.16901408450704225,0.3393495363863384,0.17539964701658642
item14_prisma,F1,0.3472222222222222,4.211756890516752,1.423471445312523
item15_incl_list,F1,0.3888888888888889,0.19211579479056848,0.12348325160925835
item16_excl_list,F1,0.041666666666666664,0.2798672563938488,0.2630251873708738
item17_code,F4,0.027777777777777776,0.7969105433063339,0.5317414504363229
